COMID,Stream DOC
22879855,1.547524317
22879857,1.340627357
22879859,1.202572512
22879861,0.781818182
22879863,1.228146724
22879865,2.16254647
22879867,2.11231356
22879869,1.337501891
22879871,2.580658956
22879873,1.837438518
22879875,1.164340979
22879877,1.838534378
22879879,1.271264585
22879881,1.40541157
22879883,0.781818182
22879885,0.781818182
22879887,1.419780642
22879889,2.253670723
22879893,1.496241128
22879895,2.280719475
22879897,0.957424632
22879899,1.230176535
22879901,1.283612872
22879903,1.563391832
22879905,1.355888792
22879907,1.352263044
22879909,1.108648396
22879913,1.305237305
22879915,2.083315499
22879917,1.721276567
22879919,2.15579873
22879921,2.155213212
22879923,1.463640538
22879925,0.903451195
22879927,2.15579873
22879931,2.378401612
22879933,1.714439144
22879935,1.731679484
22879937,1.046986653
22879939,1.010436798
22879941,0.781818182
22879943,1.15302364
22879945,1.091646184
22879947,1.018705914
22879949,1.02915917
22879951,0.966502413
22879953,1.946408903
22879955,1.716907458
22879957,2.806879981
22879959,1.320260889
22879961,1.114660707
22879963,2.935985375
22879965,2.250515007
22879967,2.915683248
22879969,2.461234353
22879971,2.335139463
22879973,1.636025344
22879975,1.610800134
22879977,0.781818182
22879979,1.87891615
22879981,1.807973437
22879983,1.315867225
22879985,0.781818182
22879987,1.474941991
22879989,1.456369283
22879991,0.965869952
22879993,1.513625285
22879995,0.930705555
22879997,1.154646091
22879999,2.407271689
22880001,0.819194298
22880003,1.743497283
22880005,1.556210914
22880007,2.325675324
22880009,0.956014666
22880011,1.65060236
22880013,2.15579873
22880015,1.408353484
22880017,2.587173257
22880019,1.466548133
22880021,1.787748659
22880025,0.94123574
22880029,0.956948832
22880031,0.781818182
22880033,1.283612872
22880035,3.078241198
22880039,0.781818182
22880041,1.823951371
22880043,1.232927108
22880045,1.452068758
22880047,0.781818182
22880051,0.781818182
22880053,1.439870171
22880055,1.627573561
22880057,3.021961552
22880059,1.393315591
22880061,1.041766633
22880063,0.886176392
22880065,1.523797762
22880067,0.932644676
22880069,3.181282174
22880071,1.571860541
22880075,0.781818182
22880077,1.204866397
22880079,1.249983805
22880081,0.781818182
22880083,1.585387652
22880087,3.35772292
22880089,1.330765032
22880091,2.15579873
22880093,0.781818182
22880095,1.008976184
22880099,1.23578451
22880101,0.781818182
22880103,0.893711291
22880105,0.874128698
22880107,1.298019996
22880109,0.781818182
22880111,1.760349922
22880113,0.838134655
22880115,1.129877637
22880117,0.834187919
22880121,1.356004071
22880123,0.781818182
22880125,1.06125052
22880127,1.156593663
22880129,1.19798811
22880131,0.781818182
22880133,1.075977209
22880135,0.872688425
22880137,0.795895551
22880141,1.597102521
22880147,0.781818182
22880149,1.755544521
22880155,1.073777776
22880161,0.923901276
22880163,1.346879273
22880165,1.673915629
22880167,1.584487357
22880169,0.781818182
22880171,1.718145457
22880173,1.73922402
22880175,1.011518373
22880177,2.925336655
22880179,1.572064183
22880181,1.312149303
22880183,2.750315228
22880185,1.708453873
22880187,1.323306519
22880189,2.920611106
22880191,1.11067647
22880193,0.781818182
22880195,0.781818182
22880197,2.15579873
22880199,0.979160489
22880201,1.279269317
22880203,1.622210673
22880205,1.693136142
22880207,1.263757348
22880209,1.677529639
22880211,3.433373492
22880215,2.751779024
22880217,0.865166828
22880219,1.111965149
22880221,1.051662036
22880223,1.321864251
22880225,2.390066905
22880227,1.571953299
22880229,0.781818182
22880231,1.789797165
22880235,1.10423697
22880237,0.781818182
22880239,1.334209248
22880241,0.826958712
22880243,0.781818182
22880245,0.781818182
22880247,1.095875146
22880249,0.781818182
22880251,1.135207385
22880253,0.781818182
22880255,1.141635882
22880257,3.43012766
22880259,1.455675128
22880261,1.498123624
22880263,1.833838918
22880265,1.027424511
22880267,0.781818182
22880269,0.781818182
22880271,1.832101183
22880273,1.046553144
22880275,1.207817348
22880277,1.575829529
22880279,1.723415883
22880281,1.764495978
22880283,1.28313866
22880285,1.582082075
22880287,0.781818182
22880289,1.181324594
22880291,1.675975101
22880293,1.674943499
22880295,1.73922402
22880297,1.682776009
22880299,1.631185774
22880303,2.010924283
22880305,1.198970107
22880307,1.234270592
22880309,2.317068617
22880311,0.781818182
22880313,1.689742956
22880315,2.814378728
22880317,1.434847389
22880319,1.398897888
22880321,0.781818182
22880323,1.371647942
22880325,0.781818182
22880327,0.898156444
22880329,0.781818182
22880331,1.501583459
22880333,1.696380016
22880335,2.096075835
22880337,2.013834474
22880339,1.918653868
22880341,1.354290967
22880343,2.15579873
22880345,1.528879626
22880347,1.649273812
22880349,1.221322867
22880351,1.76146659
22880353,1.335861787
22880355,1.018831422
22880357,1.290306088
22880359,1.44922602
22880361,1.282741034
22880363,2.15579873
22880365,1.180672266
22880369,1.827110771
22880371,1.278314732
22880373,1.336922283
22880375,1.346419085
22880377,2.15579873
22880379,1.62488403
22880381,2.15579873
22880383,1.349842347
22880387,1.280939268
22880389,1.684382918
22880391,1.619994833
22880393,2.886136611
22880395,1.248678969
22880397,1.728361261
22880399,0.781818182
22880401,1.028555646
22880403,3.388587296
22880407,1.665819878
22880409,0.859913826
22880411,1.040809684
22880415,1.343072842
22880417,0.781818182
22880419,2.865136295
22880421,1.285619445
22880423,1.488922146
22880425,1.424218406
22880429,1.504206168
22880431,1.538929228
22880433,2.850239586
22880437,0.986106741
22880439,0.911312103
22880443,1.558198722
22880445,1.557005414
22880447,0.857709852
22880449,1.81943293
22880453,1.451348523
22880455,0.781818182
22880457,1.707863349
22880459,2.15579873
